{adid},{idfa},{android_id},{idfv},{gps_adid},{tracker_name},{is_organic},{created_at},{network_name},{campaign_name},{adgroup_name},{creative_name},{revenue_usd},{uninstalled_at},{last_session_time}
2e0a237b4491ba53726a6d257554927c,,,,991969c5-9c77-4bd5-9d4d-5df968fda8e9,Snapchat Installs::VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798)::Influencers - Android (e301f003-612d-4a7f-8ff1-aaefa7599fdd)::Qretim - Android (d0f77588-d0df-4ca9-8d56-80b74527d890),0,1600692827,Snapchat Installs,VIP Baloot (08af12f4-e7da-4cca-ad84-0e9f1d981798),Influencers - Android (e301f003-612d-4a7f-8ff1-aaefa7599fdd),Qretim - Android (d0f77588-d0df-4ca9-8d56-80b74527d890),,,1600617385
521e73a7b19a859d93cb687699ab3845,,,,1a802bb7-6388-4194-8ae6-02598e4f3864,Organic,1,1600692828,Organic,,,,,,1600689370
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692859,SC RE,VIP_Baloot_I_M_RE,,,,,
c02fc7dad576ec96196bd6e44a8fbd56,A32EF286-B568-422C-B746-0CD3CC25E20D,,B5DDD0EE-AA56-4104-B494-95ACAE8FE2D5,,Organic,1,1600692828,Organic,,,,,,1600681776
69502eaac49255d7d1d2eb61d9fb9718,F5014A62-A372-4BDB-83E9-C3EEC16B641A,,DCAFC975-2F8A-4810-8209-24279529D46F,,Organic,1,1600692829,Organic,,,,,,1600681970
bdc362d4f419684b029bc878cdbcf023,F64E99EC-D4CF-45E5-87B6-C09E09E83567,,1FB1B6C0-28B1-4A75-B024-68F2F46323DB,,Snapchat Installs::Expired Attributions,0,1600692830,Snapchat Installs,Expired Attributions,,,,,1600638761
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692859,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
e0ffd6c1445836405fe9ed018b7cce1b,,,,1d5b3565-a41a-4718-a236-5827ac71b99e,Organic,1,1600692828,Organic,,,,,,1600548792
10347d33c16f4ccf055fc756cf7658e7,98D6523E-B83B-4582-9D32-CAB9B191E0CF,,8A46C7B6-6361-438E-A5C0-A53513132D18,,Organic,1,1600692829,Organic,,,,,,1600522720
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692859,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692861,SC RE,VIP_Baloot_I_M_RE,,,,,
