{adid},{idfa},{android_id},{idfv},{gps_adid},{tracker_name},{is_organic},{created_at},{network_name},{campaign_name},{adgroup_name},{creative_name},{revenue_usd},{uninstalled_at},{last_session_time}
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692859,SC RE,VIP_Baloot_I_M_RE,,,,,
97a167c78d252fb16351ebdd00344f6a,,,FB0DA6C4-75E5-4084-950F-8CA156661ED8,,Organic,1,1600692829,Organic,,,,,,1600639727
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692858,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692860,SC RE,VIP_Baloot_I_M_RE,,,,,
105b47212c91d7a1a35f567b88b1a066,,,2A8B6D4A-ED10-4DAD-967E-80CAB6C6E76D,,Organic,1,1600692829,Organic,,,,,,1600631863
eb5b913e0042071ac3f7c4f311af2a4b,,,40EAE23E-3334-4B05-818D-28EB2F2ABF82,,Organic,1,1600692830,Organic,,,,,,1600618151
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692859,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
f923a4f5dd29e7d08992e03f1127a7a0,,,,522c8cff-1d13-4537-af15-3d2b53808063,Organic,1,1600692830,Organic,,,,,,1600686012
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692861,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692860,SC RE,VIP_Baloot_I_M_RE,,,,,
ca23ded700326d2fcad1cc4ecb86943f,,,,745ba7e5-1973-434d-b6d0-b5c70b340672,Organic,1,1600692830,Organic,,,,,,1600673240
24987f2c223ce998580cf881cfb4ef34,,,,8fc6bace-58b9-4e7e-a874-882e6b170b6c,Organic,1,1600692831,Organic,,,,,,1600680495
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692862,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
4d63c987220d1f9b3c31ebce9e5b3bff,DBB2CD31-70A5-4A1A-A592-6B21CB9DF871,,98450C38-9762-4E45-A748-8A786C52F51F,,Organic,1,1600692830,Organic,,,,,,1600647220
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692862,SC RE,VIP_Baloot_I_M_RE,,,,,
f99eeecdbae37b214e88a39fce150a7b,,,,7ba86976-3db7-4624-984d-a05755168b88,Organic,1,1600692832,Organic,,,,,,1600675003
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692863,SC RE,VIP_Baloot_I_M_RE,,,,,
33e51c935525ecbccdcbd9509519954d,,,,7518e4c5-5776-4122-9186-f426e56c1498,Organic,1,1600692833,Organic,,,,,,1600685955
bb84a82b245d2acf06f3925d8a4bd1f2,,,09B7BD21-0584-474E-A792-FB5EAB125BF7,,Organic,1,1600692834,Organic,,,,,,1600680119
8e22047629a55d3e8b3d2596f334cdc4,08127A7C-CA1B-4302-8C84-F592D421EE52,,66D3F833-EACB-4D09-AB16-AC1E869F3CC1,,Organic,1,1600692835,Organic,,,,,,1600179089
d1b84d6132dac0e2a5e7ecdf5b1fc158,996D0D5F-7AFE-4C29-8403-6017C3F720C9,,EBBCF508-7F4A-4B88-8341-CD17EFCA37FD,,Organic,1,1600692835,Organic,,,,,,1600685033
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692865,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692864,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692865,SC RE,VIP_Baloot_I_M_RE,,,,,
c72fb0fb98d4d50e2b4ea931b94fce52,,,0BC42B9D-3752-4BC3-A1FB-0A54A23EFC3C,,Organic,1,1600692836,Organic,,,,,,1600687365
a8c9415514612a2fec6acf64669f57e8,A1678887-5353-4871-98BD-9A4561635FD6,,7CBCA9DF-04D5-4626-8379-C34F35B3BDDC,,Snapchat Installs::VIP Baloot_I_Both_LA (8b5b03f7-218a-4d69-93d9-06b3884019bc)::1399_SAXX_XX_AppOpen(Balance) (61fac6c0-5640-4513-89d8-72183e9219f5)::SC_SwipeUpRamdan_VIP Baloot (7042f01c-6455-4a54-b404-8af886306655),0,1600692835,Snapchat Installs,VIP Baloot_I_Both_LA (8b5b03f7-218a-4d69-93d9-06b3884019bc),1399_SAXX_XX_AppOpen(Balance) (61fac6c0-5640-4513-89d8-72183e9219f5),SC_SwipeUpRamdan_VIP Baloot (7042f01c-6455-4a54-b404-8af886306655),,,1600687837
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692867,SC RE,VIP_Baloot_I_M_RE,,,,,
c70b5232e118f9c4f8ba9074d361fbf9,,,,608dd61f-cbeb-48d2-b860-fa0166d2639e,Organic,1,1600692836,Organic,,,,,,1600681501
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692867,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
4ded1716c5a13605cc360920bc46f5be,187CD7A9-7515-4A07-894D-370A4CE05F61,,DFD03855-000B-4B4F-88D2-13FD5539925E,,Organic,1,1600692837,Organic,,,,,,1600675728
057fc6db352d4d5b9902ee183a4ec001,,,049DDF88-E451-421B-B961-2AF400E9EB39,,Organic,1,1600692837,Organic,,,,,,1600679166
e725b9801b20fc37067069f73dfd7ada,,,,93cf9967-5255-4154-89d0-bfe502b8d242,Organic,1,1600692838,Organic,,,,,,1600627352
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692868,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692868,SC RE,VIP_Baloot_I_M_RE,,,,,
0cda712d88bad037ef4d783a93ce95e1,75D4BD28-520C-410F-85AE-9BD3B393BD7B,,A06AD40A-6AB9-4519-B0D5-3174600CA06D,,Organic,1,1600692840,Organic,,,,,,1600684837
96047677f03737caff4f74a65eb7b92a,,,,86e5765b-445c-45aa-a262-de3e72dda172,Organic,1,1600692841,Organic,,,,,,1600649716
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692871,SC RE,VIP_Baloot_I_M_RE,,,,,
ab606a4c99042e6a4474cd0632b305df,,,,235a6bff-290e-4ff6-bb36-b806a827dcea,Organic,1,1600692841,Organic,,,,,,1600186921
378e726d039ff26959bcfce69332d178,84062611-E61A-4148-AA2B-F41FF649E616,,5A89C024-78EB-46E0-8B0E-2FBD7893A378,,Organic,1,1600692842,Organic,,,,,,1600662352
57974896df2c7396c8c94ee51b983a98,5972AC4D-3723-4CD9-8712-98D47DF41FA3,,D7368CD7-D269-4965-A5C1-4E2604F674A5,,Organic,1,1600692842,Organic,,,,,,1600681573
3cbc7728b7c552c05aff63062df3f9c6,,,832EEFE7-7C17-4056-A673-C8BE254205DE,,Organic,1,1600692841,Organic,,,,,,1600685397
f4c7766132a5b478cf51e1b34575a0cb,CDADB716-2284-43D5-A8A7-9D81B00EFFD9,,B48480C1-3F17-41BD-8795-9EF78CE9F2B9,,Organic,1,1600692841,Organic,,,,,,1600657726
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692873,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692873,SC RE,VIP_Baloot_I_M_RE,,,,,
9fe38a9ad6da70ea6729d741a11ba4f5,,,30FA0D8B-2FBD-4877-8DA0-FE253FF9B9A1,,Organic,1,1600692842,Organic,,,,,,1600655647
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692872,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692872,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
68d09c9753c71220438919c64f9dd1d0,787C05B5-3247-4790-9285-222066CD797E,,550C3053-D044-493F-B358-757E076D3F0A,,Organic,1,1600692843,Organic,,,,,,1600648686
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692873,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
5310ba4e3dabe69072291f5f78d5d41d,5309DFD6-D274-4493-8FA1-E2182B6D5E47,,F8FC311A-11CF-4B97-81B5-15E0ACEFDA67,,Organic,1,1600692844,Organic,,,,,,1600636058
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692875,SC RE,VIP_Baloot_I_M_RE,,,,,
5584f9f37b5939d27308a73097bc3ce9,78584A90-6975-402F-8BFE-2558275A264E,,DEEC66A1-A569-42D2-967E-D980971FCE77,,Organic,1,1600692844,Organic,,,,,,1600655140
2bc1f06415d1bec0a74cee0982f4e0d7,,,DB6F90A1-44AE-4D16-84CC-C75DD91E7048,,Organic,1,1600692846,Organic,,,,,,1600650082
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692875,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
654808458d80e75aeb633c0bdd5d887e,,,,c2d61787-bec9-4205-9c78-9f72d9cf75a2,Snapchat Installs::VIP Baloot_AppPurchases (8a9cfd94-83d6-4b40-bcba-7905188b6f1f)::Android_1399_SAXX_XX_Purchase (12a928eb-c4a2-4ae2-accc-0bd47faf4ba3)::SC_AN_RealGameplay_Recycled2 (c2b185fe-2464-4079-a0a8-36cf82d64aa0),0,1600692846,Snapchat Installs,VIP Baloot_AppPurchases (8a9cfd94-83d6-4b40-bcba-7905188b6f1f),Android_1399_SAXX_XX_Purchase (12a928eb-c4a2-4ae2-accc-0bd47faf4ba3),SC_AN_RealGameplay_Recycled2 (c2b185fe-2464-4079-a0a8-36cf82d64aa0),,,1600687799
cf4cf393a2f1162f004e23adc280cc36,9CFDBC80-72E2-422F-9154-DCCCB4D723E4,,F2D06A52-6E07-42B6-AFE2-E195AAE463D5,,Organic,1,1600692846,Organic,,,,,,1600688957
f074bc8d48f67c00f51e0c4a9589fa0f,A4E0D1F4-7A6C-4AF8-8C20-744C868B3686,,AA02427A-9601-4857-B310-F9986D484989,,Organic,1,1600692846,Organic,,,,,,1600687996
d6ccfe9ff4b0ce83e2659732e9064aba,,,A4F1A970-3980-4C5C-A538-71F99EABFF3A,,Organic,1,1600692847,Organic,,,,,,1600512763
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692877,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
89f8f6bcb6bc0b3da33593f9d2e85899,8299A691-08FA-4E27-B224-849C57C462D8,,B16AC7D9-CE8C-41AE-B18D-D5DD0D53A74C,,Apple Search Ads::Baloot - KSA (376267059)::Generic - Broad (391555911)::بلوت (391572986),0,1600692847,Apple Search Ads,Baloot - KSA (376267059),Generic - Broad (391555911),بلوت (391572986),,,1600670867
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692878,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692878,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692879,SC RE,VIP_Baloot_I_M_RE,,,,,
